OBJECTID,LAGOSLAKEI,A_1,A_2,A_3
1,140,0.000000000000000,15300.000000000000000,10837800.000000000000000
2,290,558900.000000000000000,8028000.000000000000000,0.000000000000000
3,409,14720400.000000000000000,9900.000000000000000,0.000000000000000
4,437,0.000000000000000,48600.000000000000000,0.000000000000000
5,473,0.000000000000000,1358100.000000000000000,0.000000000000000
6,480,0.000000000000000,0.000000000000000,91800.000000000000000
7,492,0.000000000000000,0.000000000000000,1439100.000000000000000
8,501,0.000000000000000,0.000000000000000,242100.000000000000000
9,504,0.000000000000000,0.000000000000000,530100.000000000000000
10,528,0.000000000000000,123300.000000000000000,711900.000000000000000
11,536,0.000000000000000,59400.000000000000000,10125900.000000000000000
12,541,0.000000000000000,31500.000000000000000,12777300.000000000000000
13,545,0.000000000000000,0.000000000000000,25200.000000000000000
14,547,0.000000000000000,0.000000000000000,3157200.000000000000000
15,554,55800.000000000000000,481500.000000000000000,0.000000000000000
16,575,0.000000000000000,16200.000000000000000,4455900.000000000000000
17,597,0.000000000000000,7200.000000000000000,0.000000000000000
18,602,0.000000000000000,2120400.000000000000000,4572000.000000000000000
19,615,0.000000000000000,0.000000000000000,792900.000000000000000
20,616,0.000000000000000,1154700.000000000000000,1589400.000000000000000
21,621,0.000000000000000,534600.000000000000000,0.000000000000000
22,623,0.000000000000000,0.000000000000000,3010500.000000000000000
23,631,0.000000000000000,0.000000000000000,376200.000000000000000
24,643,0.000000000000000,20364300.000000000000000,0.000000000000000
25,659,635400.000000000000000,4415400.000000000000000,321300.000000000000000
26,670,0.000000000000000,154800.000000000000000,0.000000000000000
27,674,0.000000000000000,74700.000000000000000,0.000000000000000
28,683,0.000000000000000,1886400.000000000000000,0.000000000000000
29,688,0.000000000000000,0.000000000000000,6761700.000000000000000
30,691,0.000000000000000,0.000000000000000,11608200.000000000000000
31,708,0.000000000000000,0.000000000000000,4353300.000000000000000
32,714,0.000000000000000,7259400.000000000000000,713700.000000000000000
33,731,0.000000000000000,13484700.000000000000000,0.000000000000000
34,732,780300.000000000000000,3888900.000000000000000,0.000000000000000
35,740,0.000000000000000,33300.000000000000000,702000.000000000000000
36,752,0.000000000000000,628200.000000000000000,0.000000000000000
37,753,0.000000000000000,7409700.000000000000000,0.000000000000000
38,776,0.000000000000000,0.000000000000000,563400.000000000000000
39,790,0.000000000000000,135900.000000000000000,0.000000000000000
40,795,0.000000000000000,38700.000000000000000,0.000000000000000
41,807,0.000000000000000,578700.000000000000000,4565700.000000000000000
42,812,0.000000000000000,2182500.000000000000000,0.000000000000000
43,818,0.000000000000000,105300.000000000000000,12362400.000000000000000
44,820,0.000000000000000,10800.000000000000000,0.000000000000000
45,821,0.000000000000000,337500.000000000000000,0.000000000000000
46,822,0.000000000000000,63900.000000000000000,0.000000000000000
47,830,0.000000000000000,17515800.000000000000000,0.000000000000000
48,835,0.000000000000000,0.000000000000000,10281600.000000000000000
49,840,0.000000000000000,369900.000000000000000,0.000000000000000
50,845,0.000000000000000,34200.000000000000000,0.000000000000000
51,847,0.000000000000000,437400.000000000000000,0.000000000000000
52,854,0.000000000000000,20700.000000000000000,0.000000000000000
53,864,0.000000000000000,3646800.000000000000000,0.000000000000000
54,867,0.000000000000000,266400.000000000000000,0.000000000000000
55,877,0.000000000000000,0.000000000000000,18821700.000000000000000
56,883,0.000000000000000,167400.000000000000000,6942600.000000000000000
57,914,0.000000000000000,0.000000000000000,10529100.000000000000000
58,923,0.000000000000000,0.000000000000000,11710800.000000000000000
59,934,0.000000000000000,8291700.000000000000000,0.000000000000000
60,937,0.000000000000000,359100.000000000000000,0.000000000000000
61,938,0.000000000000000,422100.000000000000000,0.000000000000000
62,943,0.000000000000000,280800.000000000000000,1457100.000000000000000
63,959,0.000000000000000,0.000000000000000,77400.000000000000000
64,970,0.000000000000000,0.000000000000000,1099800.000000000000000
65,974,0.000000000000000,18000.000000000000000,4747500.000000000000000
66,977,0.000000000000000,10069200.000000000000000,0.000000000000000
67,983,1062900.000000000000000,0.000000000000000,0.000000000000000
68,1006,0.000000000000000,50400.000000000000000,7055100.000000000000000
69,1009,0.000000000000000,0.000000000000000,524700.000000000000000
70,1025,0.000000000000000,0.000000000000000,13500.000000000000000
71,1027,0.000000000000000,0.000000000000000,2672100.000000000000000
72,1030,0.000000000000000,0.000000000000000,1556100.000000000000000
73,1037,0.000000000000000,0.000000000000000,9900.000000000000000
74,1039,84600.000000000000000,300600.000000000000000,0.000000000000000
75,1040,1136700.000000000000000,24461100.000000000000000,0.000000000000000
76,1044,0.000000000000000,0.000000000000000,1328400.000000000000000
77,1054,0.000000000000000,2488500.000000000000000,4500.000000000000000
78,1058,0.000000000000000,1880100.000000000000000,12782700.000000000000000
79,1062,0.000000000000000,104400.000000000000000,0.000000000000000
80,1106,0.000000000000000,3600900.000000000000000,0.000000000000000
81,1107,0.000000000000000,399600.000000000000000,0.000000000000000
