"","LAGOSLAKEI","OBJECTID","A_1","A_2","A_3","IWS_area_ha.x","GAP12_IWS_ha","GAP123_IWS_ha","GAP12_IWS_pct","GAP123_IWS_pct","IWS_area_ha.y","IWS_area_ha"
"49",864,483,0,7700400,0,815.2959536,770.04,770.04,0.9444913796025,0.9444913796025,815.2959536,815.2959536
"50",867,485,0,122400,0,3992.549267,12.24,12.24,0.00306571044749991,0.00306571044749991,3992.549267,3992.549267
"51",877,493,0,0,23930100,2707.350646,0,2393.01,0,0.883893633628719,2707.350646,2707.350646
"52",887,500,0,1734300,0,200.192128,173.43,173.43,0.866317780487353,0.866317780487353,200.192128,200.192128
"53",895,506,0,101700,0,6507.260282,10.17,10.17,0.00156286971156381,0.00156286971156381,6507.260282,6507.260282
"54",909,513,0,537300,0,978.3345966,53.73,53.73,0.0549198609419799,0.0549198609419799,978.3345966,978.3345966
"55",914,515,0,0,2041200,390.6007957,0,204.12,0,0.522579580602734,390.6007957,390.6007957
"56",923,521,0,0,1912500,345.9161282,0,191.25,0,0.552879685012617,345.9161282,345.9161282
"57",934,526,0,7335900,0,845.7382207,733.59,733.59,0.8673960594956,0.8673960594956,845.7382207,845.7382207
"58",938,527,0,709200,0,771.8311505,70.92,70.92,0.0918853818663024,0.0918853818663024,771.8311505,771.8311505
"59",943,529,0,0,129600,80.71891131,0,12.96,0,0.160557170428467,80.71891131,80.71891131
"60",949,533,0,1816200,0,443.4954672,181.62,181.62,0.409519405342865,0.409519405342865,443.4954672,443.4954672
"61",959,537,0,0,2493000,371.8155644,0,249.3,0,0.670493717502914,371.8155644,371.8155644
"62",970,542,0,0,550800,1750.830562,0,55.08,0,0.0314593548887342,1750.830562,1750.830562
"63",974,545,0,214353900,72269100,67578.64818,21435.39,28662.3,0.317191754752263,0.424132485214208,67578.64818,67578.64818
"64",977,548,0,558900,0,58.73320092,55.89,55.89,0.951591248638522,0.951591248638522,58.73320092,58.73320092
"65",1006,566,0,513000,3879000,1225.999174,51.3,439.2,0.0418434213398581,0.358238414278083,1225.999174,1225.999174
"66",1009,568,0,0,170100,92.67504921,0,17.01,0,0.1835445478044,92.67504921,92.67504921
"67",1025,578,0,0,475200,680.6322454,0,47.52,0,0.0698174385964818,680.6322454,680.6322454
"68",1027,579,0,0,13518000,2110.758836,0,1351.8,0,0.640433183054551,2110.758836,2110.758836
"69",1037,584,0,0,73800,314.6290628,0,7.38,0,0.0234561929350158,314.6290628,314.6290628
"70",1039,585,1062000,637200,147600,212.6838933,169.92,184.68,0.798932149320402,0.868330916528318,212.6838933,212.6838933
"71",1040,586,1656000,2769300,0,1482.894653,442.53,442.53,0.298423086970292,0.298423086970292,1482.894653,1482.894653
"72",1044,589,0,0,583200,476.9995574,0,58.32,0,0.12226426439028,476.9995574,476.9995574
"73",1050,590,0,0,2700,1662.490353,0,0.27,0,0.000162406957437545,1662.490353,1662.490353
"74",1054,592,0,1427400,1784700,13204.43601,142.74,321.21,0.0108100035391061,0.024325915908619,13204.43601,13204.43601
"75",1058,595,0,2574000,147346200,60351.43299,257.4,14992.02,0.00426501886115364,0.248411997151486,60351.43299,60351.43299
"76",1062,597,0,21600,0,1070.689187,2.16,2.16,0.00201739218647774,0.00201739218647774,1070.689187,1070.689187
"77",1093,613,0,0,1581300,770.9549039,0,158.13,0,0.20510927318845,770.9549039,770.9549039
"78",1106,623,0,3485700,0,4873.864704,348.57,348.57,0.0715181937065112,0.0715181937065112,4873.864704,4873.864704
"79",1107,624,0,450000,0,809.2588895,45,45,0.0556064327298316,0.0556064327298316,809.2588895,809.2588895
"80",1109,626,0,0,13599000,8523.313234,0,1359.9,0,0.159550630449117,8523.313234,8523.313234
"81",1110,627,0,1727100,0,2511.410562,172.71,172.71,0.0687701177231889,0.0687701177231889,2511.410562,2511.410562
"82",1126,637,0,0,1014300,255.6450503,0,101.43,0,0.396761055537636,255.6450503,255.6450503
"83",1135,644,0,129600,0,12800.7933,12.96,12.96,0.00101243725261934,0.00101243725261934,12800.7933,12800.7933
"84",1140,646,0,733500,0,1198.979388,73.35,73.35,0.0611770316772118,0.0611770316772118,1198.979388,1198.979388
"85",1141,647,0,41057100,0,8368.409343,4105.71,4105.71,0.490620120469411,0.490620120469411,8368.409343,8368.409343
"86",1153,654,0,1574100,48600,8285.918493,157.41,162.27,0.0189972904190382,0.0195838276875505,8285.918493,8285.918493
"87",1160,658,0,0,2126700,782.335261,0,212.67,0,0.2718399778225,782.335261,782.335261
"88",1161,659,0,0,301500,461.3085849,0,30.15,0,0.0653575523779505,461.3085849,461.3085849
"89",1185,671,0,58500,0,1415.801922,5.85,5.85,0.00413193393023237,0.00413193393023237,1415.801922,1415.801922
"90",1188,672,0,3814200,3888900,28826.79429,381.42,770.31,0.0132314400332858,0.0267220139794462,28826.79429,28826.79429
