"response","auc","accuracy","sensitivity","specificity"
"ProtectGAP12Cat_75",0.946550211938183,0.913181378034709,0.917231422094019,0.821200247473706
"ProtectGAP123Cat_75",0.94991228894734,0.882508132179076,0.88481204305645,0.866643804298125
"ProtectGAP12Cat_90",0.954736709631315,0.921951375077553,0.925028023957854,0.837864476386037
"ProtectGAP123Cat_90",0.957146944054614,0.891092582177047,0.892252664664704,0.881785125696497
"ProtectGAP12Cat_100",0.954873311659832,0.915193403802555,0.91636477719373,0.859087042812589
"ProtectGAP123Cat_100",0.951032530111247,0.881020856647513,0.880334897644179,0.890099459370228
